Year,Method,A31,A32,A33,B21,B22,C41,C42,C43,C44
2010,PSI,0.10716256319184929,0.19078714281068362,0.06788346327367101,0.1262758964588081,0.13942025336018474,0.08305281942839994,0.09859421262423333,0.07968370634750117,0.10713994250466882
2010,CRITIC,0.10332447800229756,0.13959003034595877,0.05718384796867231,0.10140846537113447,0.17177821879189067,0.10025316222610983,0.1191709021981979,0.08966867190937597,0.11762222318636267
2010,Entropy,0.16052301812366215,0.42594580145927424,0.015142555975022837,0.05642178721503175,0.13593921947741117,0.03579502368482362,0.05984320640222294,0.04916350267312908,0.061225884989422205
2015,PSI,0.12367417796038484,0.18004632257632866,0.04670635841625238,0.13431586771352397,0.15879932269664015,0.08596422811368375,0.08207739732132302,0.08964743902449773,0.09876888617736547
2015,CRITIC,0.12227058477756968,0.14143010193062958,0.06183353922753636,0.09901977784213699,0.1969686844722176,0.1007441926238715,0.09232097994090198,0.09351749171028075,0.09189464747485551
2015,Entropy,0.17645997029800212,0.42689512774446514,0.007820197005263822,0.06982987972617984,0.15617593512287498,0.032991861089159545,0.02986861216082239,0.04868898806527202,0.05126942878796016
2019,PSI,0.13998952128816308,0.18278166994413086,0.04792804641342453,0.1352032383399968,0.13420997053002767,0.08898426819333784,0.0752624593861204,0.07971182533391165,0.11592900057088713
2019,CRITIC,0.11826481241243747,0.14677928187830197,0.07349535591418113,0.11884552275507848,0.15875510256143238,0.1071656717756165,0.08498648787113472,0.07800885313955055,0.11369891169226679
2019,Entropy,0.19050131938840711,0.4752094238883609,0.010971695720818722,0.07893069420052141,0.1082561056592864,0.0293819160768307,0.01766009759048491,0.03433655760634719,0.05475218986894261
2023,PSI,0.13026644825629655,0.17551539794423093,0.08337229871721251,0.10302976480383032,0.1806501205939933,0.056133469830620335,0.08210567228956406,0.11352365913506055,0.0754031684291915
2023,CRITIC,0.11920553774643976,0.1450615149727936,0.1646362507836097,0.09325215423543183,0.14787206881862008,0.048718674916245826,0.09054087128268909,0.09433949723207566,0.09637343001209439
2023,Entropy,0.16391153376034473,0.5216767890747974,0.024332256657197206,0.03536233194070494,0.18208662352801053,0.008056204430163406,0.01610427815749381,0.03433472709038613,0.014135255360901777
