Year,Pair,Spearman
2010,AROMAN vs COPRAS,0.479
2010,AROMAN vs PROMETHEE,0.989
2010,COPRAS vs PROMETHEE,0.556
2015,AROMAN vs COPRAS,0.661
2015,AROMAN vs PROMETHEE,0.944
2015,COPRAS vs PROMETHEE,0.77
2019,AROMAN vs COPRAS,0.556
2019,AROMAN vs PROMETHEE,0.975
2019,COPRAS vs PROMETHEE,0.633
2023,AROMAN vs COPRAS,0.725
2023,AROMAN vs PROMETHEE,0.975
2023,COPRAS vs PROMETHEE,0.737
