Code,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,11.946143,1.558600,0.985780,37.502562,26.709508,7.004105,5.996334,5.059269,4.105523
AU,4.815002,0.570627,0.807836,96.188328,94.708909,8.018896,8.033014,6.997228,7.939556
BR,23.315490,5.676642,0.959836,73.285251,37.305116,7.004271,8.004998,7.057418,6.005234
CA,4.757445,0.605505,0.783362,96.638249,88.461786,5.998119,7.001970,6.002994,10.000000
CH,18.729326,10.436057,0.924319,37.412824,50.643406,8.033783,8.965364,7.014229,6.064394
FR,4.541745,0.724424,0.823628,97.888042,87.471093,8.997923,7.029433,9.006205,8.935902
DE,3.140906,0.785990,0.876899,97.519397,100.000000,6.473023,6.434330,6.281380,6.314630
IN,16.435265,13.306991,0.959610,26.237168,55.017804,3.018902,3.997334,3.059732,4.106869
ID,15.642583,4.148511,1.128750,83.401543,83.427126,7.581122,4.971629,7.497671,8.406992
IT,5.182892,0.956942,0.813070,62.779703,10.954136,8.013963,7.028170,6.991594,8.934322
JP,3.726735,0.478057,0.841845,98.967584,67.632436,7.022043,8.965364,7.000950,8.944304
KR,9.315761,1.911394,0.828271,83.984338,19.010711,8.084979,7.097366,7.003475,6.126765
MX,13.463854,4.721816,0.919639,35.809992,12.864463,4.991529,4.990557,6.871753,5.995850
RU,18.626590,5.075388,0.911622,70.777780,24.890170,8.275410,6.197638,7.013873,4.357220
SA,27.316121,11.954332,1.104106,71.814022,58.615942,8.001324,8.002144,5.000286,2.994398
ZA,23.433951,11.288977,0.834586,28.766998,5.581684,2.996596,3.989245,1.993462,4.994503
TR,8.837253,4.057237,1.302605,36.575541,71.066355,4.003010,3.011302,2.004549,3.006837
GB,2.822725,0.521506,0.950234,100.000000,93.211384,6.509306,6.599158,6.340662,6.453276
US,11.981972,0.873086,0.970149,84.087508,70.305633,6.516408,6.567380,6.339004,6.431850
