Code,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,11.115006,1.941193,0.791091,56.729385,20.751019,6.049999,6.049999,6.049999,6.030740
AU,0.971321,0.145061,0.977723,98.113366,94.049559,6.950000,7.950018,7.950000,7.969852
BR,15.186623,4.171344,0.823480,79.734885,49.256701,6.049999,6.037194,6.950001,7.950001
CA,0.971334,4.216991,0.964105,94.434851,82.171689,6.950000,7.950000,7.950000,7.950001
CH,15.186620,6.723321,0.977722,90.487684,64.105359,6.008581,7.950000,7.950000,6.954660
FR,1.118774,1.429260,0.977720,94.007143,84.463490,7.950000,7.950000,7.950000,7.950000
DE,0.971321,0.110917,0.893796,96.662983,95.125285,6.950001,6.952921,7.950006,7.969719
IN,12.540982,5.187372,0.637729,33.544504,14.316260,5.049993,5.049999,4.049999,4.050000
ID,4.104713,3.735934,0.977723,67.219028,29.633967,5.050000,4.050000,4.050000,8.050000
IT,0.971327,2.193091,0.977723,82.084002,32.898916,6.950000,6.049999,6.049999,7.950001
JP,0.971320,0.010001,0.637733,99.999982,58.508843,8.050000,6.049999,8.050000,6.049999
KR,10.287098,1.796806,0.861803,82.920418,33.847220,6.950000,7.950000,6.001416,7.950000
MX,13.663979,3.041053,0.977723,79.340461,30.012708,6.049999,6.950001,4.049999,7.029543
RU,14.970572,2.968985,0.687511,78.992244,18.212218,6.950000,6.950000,6.003126,5.975280
SA,15.186638,7.454741,0.977721,90.213047,65.725374,6.950000,4.950000,7.950000,6.950000
ZA,14.493705,16.410269,0.819184,57.598982,17.574343,6.050000,8.050000,3.050000,8.050000
TR,14.083494,3.507356,0.723551,43.436405,15.904117,7.950000,7.950000,4.950000,5.950000
GB,0.971321,0.011493,0.710538,97.196157,99.999952,7.037958,8.050000,8.049841,8.049994
US,9.257873,0.019164,0.977721,92.253304,79.011137,6.050000,6.050000,7.986332,5.050000
