Code,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,10.642678,2.818637,1.076431,33.957431,33.914918,3.009998,3.008752,3.004545,0.995835
AU,6.357148,1.530444,0.760235,94.139145,95.743888,5.576936,5.295280,5.665088,4.996233
BR,24.391774,6.108812,1.101331,59.808429,59.784584,6.952261,7.907754,5.995522,5.840848
CA,6.816924,1.080754,0.734915,94.797654,87.850118,5.577921,3.994615,5.665975,4.997400
CH,19.903371,9.417894,0.771828,51.107167,55.319470,8.195548,9.231572,5.688887,5.027606
FR,6.688982,1.392012,0.737028,94.821878,84.431063,6.995339,3.989127,8.434311,6.990287
DE,3.355830,3.022500,0.708198,91.908178,93.606444,5.560400,5.218018,5.650181,4.976575
IN,17.180113,14.935928,1.076178,74.180907,55.040683,5.581037,2.997512,1.993582,1.996623
ID,13.605190,3.685190,0.956689,83.177194,84.264577,2.987292,5.291845,7.001194,6.997721
IT,6.964380,1.327600,0.673986,63.643539,9.907427,7.991471,6.944989,6.950434,6.995249
JP,4.925150,1.089474,0.716857,96.372061,32.428130,5.574655,5.280301,5.663030,4.993520
KR,11.223262,2.542015,0.828503,83.521028,4.366591,8.141088,7.084136,7.118989,6.997721
MX,14.151214,5.580094,0.822447,41.936288,59.033901,5.276882,3.014844,5.010440,3.018955
RU,20.077265,5.922747,0.681803,34.534627,59.436924,6.032094,6.451717,7.563796,4.621177
SA,25.177177,10.146157,0.978894,73.723597,54.069490,4.975776,6.980996,4.449857,2.377601
ZA,28.922267,14.295690,0.741958,24.108404,9.936752,3.085392,1.992870,1.899135,6.009769
TR,7.516440,0.310619,0.992677,70.975865,72.618496,4.169713,3.150425,8.013163,5.015811
GB,4.799759,1.077390,0.589177,100.000000,91.943186,5.574871,5.310841,5.663227,4.993779
US,12.000154,1.060465,0.720146,82.669263,69.983360,5.580097,5.303950,5.667940,6.437473
