,Component 1,Component 2,Group
AR,7.0274248123168945,-33.04847717285156,4
AU,-126.22560119628906,51.47199630737305,1
BR,21.43531608581543,-56.776466369628906,3
CA,-103.57360076904297,54.66054916381836,1
CH,6.534831523895264,38.31840896606445,2
FR,-93.10466766357422,35.91149139404297,1
DE,-138.80812072753906,32.229644775390625,1
IN,10.096243858337402,58.4939079284668,2
ID,-54.687076568603516,28.621768951416016,4
IT,60.65166091918945,-100.55107116699219,3
JP,-78.35869598388672,79.34996032714844,1
KR,63.859596252441406,-81.49851989746094,3
MX,19.85149574279785,-84.19108581542969,3
RU,38.67230987548828,-72.45506286621094,3
SA,-0.011646470054984093,-14.166574478149414,4
ZA,-1.5709075927734375,-99.52288055419922,3
TR,4.314296245574951,77.19548797607422,2
GB,-114.94116973876953,29.29503631591797,1
US,-70.37606048583984,48.31608581542969,4
