,Component 1,Component 2,Group
AR,-7.690027713775635,-92.98170471191406,3
AU,17.57611083984375,95.72732543945312,1
BR,4.64860200881958,-1.216901183128357,4
CA,28.15146255493164,71.17005920410156,1
CH,15.3355073928833,9.842263221740723,4
FR,14.504780769348145,78.10968780517578,1
DE,31.198774337768555,89.55119323730469,1
IN,-3.1490273475646973,-130.63705444335938,3
ID,-3.655611753463745,-54.51537322998047,2
IT,10.326377868652344,-58.02239227294922,2
JP,3.4737277030944824,-35.20191192626953,2
KR,-2.3363006114959717,-73.6735610961914,2
MX,-15.865180015563965,-80.27233123779297,3
RU,-25.97456169128418,-97.2881851196289,3
SA,3.280642032623291,16.26643943786621,4
ZA,-20.29930877685547,-132.69561767578125,3
TR,-2.4735097885131836,-117.64517974853516,3
GB,2.234513759613037,92.2755126953125,1
US,12.774344444274902,60.23045349121094,1
