Code,2010,2015,2019,2023
AR,3,4,4,3
AU,1,1,2,1
BR,3,3,4,4
CA,1,1,2,1
CH,3,2,3,4
FR,1,1,2,1
DE,1,1,2,1
IN,4,2,3,3
ID,1,4,2,2
IT,2,3,1,2
JP,2,1,1,2
KR,2,3,1,2
MX,3,3,4,3
RU,3,3,4,3
SA,4,4,4,4
ZA,4,3,4,3
TR,1,2,3,3
GB,1,1,2,1
US,1,4,2,1
