,Component 1,Component 2,Group
AR,30.912057876586914,32.73434829711914,4
AU,-22.032047271728516,-43.10709762573242,2
BR,36.90616226196289,41.121726989746094,4
CA,-32.016517639160156,-43.16883850097656,2
CH,-12.90642261505127,-11.258081436157227,3
FR,-40.84370422363281,-44.40304183959961,2
DE,-23.54636573791504,-52.029762268066406,2
IN,-19.280025482177734,0.4111684262752533,3
ID,-27.531404495239258,-27.585784912109375,2
IT,41.18519973754883,64.08580780029297,1
JP,22.862577438354492,55.00788879394531,1
KR,31.08579444885254,56.549278259277344,1
MX,28.61799430847168,45.39458084106445,4
RU,39.76329803466797,31.788633346557617,4
SA,51.29884338378906,38.42398452758789,4
ZA,40.597713470458984,18.854204177856445,4
TR,-20.62664222717285,-11.506221771240234,3
GB,-35.391536712646484,-53.14472961425781,2
US,-37.94357681274414,-33.10625457763672,2
