Code,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,9.3914,1.6685,0.7648,55.3148,20.4134,6.0000,6.0000,6.0000,6.0000
AU,4.8968,0.7220,1.0239,99.0317,94.8824,7.0000,8.0000,8.0000,8.0000
BR,14.8507,3.6425,0.7550,80.1145,50.1973,6.0000,6.0000,7.0000,8.0000
CA,4.8473,0.8434,0.9215,96.6285,84.9526,7.0000,8.0000,8.0000,8.0000
CH,16.3554,5.7679,0.9015,94.8801,70.1109,6.0000,8.0000,8.0000,7.0000
FR,4.5727,0.5628,0.9170,97.9421,89.9080,8.0000,8.0000,8.0000,8.0000
DE,3.3731,0.6045,0.9161,97.5348,95.7663,7.0000,7.0000,8.0000,8.0000
IN,12.0432,5.1461,0.5312,30.0416,9.8932,5.0000,5.0000,4.0000,4.0000
ID,15.3199,5.5136,1.2677,59.6385,19.8080,5.0000,4.0000,4.0000,8.0000
IT,5.1709,0.5496,0.9769,83.7908,31.7732,7.0000,6.0000,6.0000,8.0000
JP,2.6960,0.4532,0.8676,96.7646,49.6072,8.0000,6.0000,8.0000,6.0000
KR,5.4133,0.9767,0.7402,86.8389,35.9586,7.0000,8.0000,6.0000,8.0000
MX,11.7975,2.7233,1.0177,78.0847,29.9312,6.0000,7.0000,4.0000,7.0000
RU,10.5183,2.1686,0.5871,79.1114,20.2707,7.0000,7.0000,6.0000,6.0000
SA,17.1923,4.7064,0.6009,99.9912,80.0470,7.0000,5.0000,8.0000,7.0000
ZA,23.9723,18.5168,1.0746,50.2560,8.1323,6.0000,8.0000,3.0000,8.0000
TR,6.7026,2.2169,0.5488,45.1196,20.2966,8.0000,8.0000,5.0000,6.0000
GB,2.4745,0.4719,0.8928,95.1257,91.0462,7.0000,8.0000,8.0000,8.0000
US,12.1017,1.4375,1.0993,92.0564,78.0649,6.0000,6.0000,8.0000,5.0000
