Code,Country,Road_fatalities_per_100_000_inhabitants,Road_fatalities_per_10_000_registered_vehicles,Change_in_number_of_road_deaths,Seatbelt_wearing_rates_front_seats,Seatbelt_wearing_rates_rear_seats,Enforcement_score_speed_limit_law,Enforcement_score_drink_driving_law,Enforcement_score_seat_belt_law,Enforcement_score_helmet_use_law
AR,Argentina,12.3402,2.2424,0.9961,41.2650,23.5959,5.0000,6.0000,5.0000,4.0000
AU,Australia,4.8968,0.7220,0.9558,96.1835,94.8824,8.0000,8.0000,7.0000,8.0000
BR,Brazil,19.7043,4.3683,0.8437,80.1145,50.1973,6.0000,6.0000,7.0000,7.0000
CA,Canada,4.8473,0.8434,1.0035,96.6285,88.6374,4.0000,8.0000,6.0000,10.0000
CH,China,18.1456,8.6831,0.9677,37.2460,50.1552,8.0000,9.0000,7.0000,6.0000
FR,France,4.5727,0.5628,0.9453,97.9421,87.7101,8.0000,7.0000,8.0000,9.0000
DE,Germany,3.3731,0.6045,0.8794,97.5348,98.2980,6.7647,7.2941,6.5882,6.8889
IN,India,22.5692,14.1720,1.3563,7.3941,58.7884,3.0000,4.0000,3.0000,4.0000
ID,Indonesia,12.1487,2.3940,0.7966,68.8335,68.5415,8.0000,9.0000,8.0000,9.0000
IT,Italy,5.1709,0.5496,0.9448,62.9278,10.8233,8.0000,7.0000,7.0000,9.0000
JP,Japan,2.6960,0.4532,0.8134,98.9083,56.0944,7.0000,9.0000,7.0000,9.0000
KR,South Korea,7.3101,1.4587,0.7734,89.8128,44.1612,8.0000,7.0000,8.0000,6.0000
MX,Mexico,11.7975,2.7233,0.8741,74.1777,45.9291,4.0000,7.0000,7.0000,4.0000
RU,Russia,18.0466,4.8390,0.9554,74.5371,35.1644,8.0000,6.0000,5.0000,4.0000
SA,Saudi Arabia,28.7840,13.5423,1.0556,71.7650,58.7767,7.0000,9.0000,3.0000,2.0000
ZA,South Africa,22.4289,10.4330,0.9516,31.0176,8.1323,6.0000,5.0000,5.0000,8.0000
TR,Turkey,12.3556,4.6911,1.3815,41.2312,69.9583,9.0000,9.0000,9.0000,9.0000
GB,United Kingdom,2.4745,0.4719,0.9464,99.1250,93.4084,8.0000,8.0000,10.0000,9.0000
US,United States,12.1017,1.4375,1.0693,92.0564,78.0649,6.7647,7.2941,6.5882,7.0000
