,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,ok,ok,ok,ok,ok,int,int,int,int
AU,ok,centre,ok,ok,ok,int,int,int,int
BR,ok,ok,ok,ok,ok,int,int,int,int
CA,ok,centre,ok,ok,ok,int,int,int,int
CH,ok,ok,ok,ok,ok,int,int,int,int
FR,ok,ok,ok,ok,ok,int,int,int,int
DE,ok,centre,ok,ok,ok,int,int,int,int
IN,ok,ok,ok,ok,ok,int,int,int,int
ID,ok,ok,ok,ok,ok,int,int,int,int
IT,ok,centre,ok,ok,ok,int,int,int,int
JP,ok,ok,ok,ok,ok,int,int,int,int
KR,ok,ok,ok,ok,ok,int,int,int,int
MX,ok,ok,ok,ok,ok,int,int,int,int
RU,ok,ok,ok,ok,ok,int,int,int,int
SA,ok,ok,ok,ok,ok,int,int,int,int
ZA,ok,ok,ok,ok,ok,int,int,int,int
TR,ok,ok,ok,ok,ok,int,int,int,int
GB,ok,ok,ok,ok,ok,int,int,int,int
US,ok,ok,ok,ok,ok,int,int,int,int
